yyyy-mm-dd,hh:mm:ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality_1,locality_2,locality_3
2022-04-06, 13:20:22.3,56.435,-5.938,4.6,1.1,5,0.4,      ,   , MULL,ARGYLL &amp, BUTE      <br>
2022-04-14, 10:49:22.9,57.766,-5.578,6.5,1.4,6,0.5,      ,   , POOLEWE,HIGHLAND        <br>,
2022-04-14, 11:28:20.4,57.773,-5.652,7.6,0.9,6,0.4,      ,   , POOLEWE,HIGHLAND        <br>,
2022-04-19, 03:03:11.9,57.768,-5.569,7.6,1.7,9,0.5,      ,   , POOLEWE,HIGHLAND        <br>,
2022-04-19, 03:06:10.7,57.791,-5.557,6.7,0.9,7,0.4,      ,   , POOLEWE,HIGHLAND        <br>,
2022-04-19, 03:11:48.3,57.811,-5.683,6.6,1,7,0.2,      ,   , POOLEWE,HIGHLAND        <br>,
2022-04-19, 11:26:22.3,55.789,-5.508,8.3,1.5,7,0.3,      ,   , CLACHAN,ARGYLL &amp, BUTE   <br>
2022-04-20, 11:20:32.7,55.861,-5.449,7.6,1.2,6,0.4,      ,   , TARBERT,ARGYLL &amp, BUTE   <br>
2022-04-21, 04:14:45.5,56.975,-5.274,7.3,0.5,6,0.2,      ,   , LOCH ARKAIG,HIGHLAND    <br>,
2022-04-23, 18:39:04.1,55.742,-5.619,10.5,0.8,8,0.3,      ,   , CLACHAN,ARGYLL &amp, BUTE   <br>
2022-04-24, 09:48:07.0,56.504,-4.222,2.6,1.9,13,0.4,3,   , KILTYRIE,PERTH/KINROSS  <br>,
2022-04-25, 17:04:34.1,55.437,-3.424,4.6,0.6,8,0.2,      ,   , TWEEDSMUIR,BORDERS      <br>,
2022-05-06, 07:31:05.3,57.12,-5.643,2.6,0.8,5,0.6,      ,   , LOCH HOURN,HIGHLAND     <br>,
2022-05-06, 12:02:15.4,56.365,-5.475,6.4,1.1,6,0.2,      ,   , OBAN,ARGYLL &amp, BUTE      <br>
2022-05-08, 05:01:37.6,57.128,-5.597,3.1,1,7,0.4,      ,   , LOCH HOURN,HIGHLAND     <br>,
2022-05-08, 05:15:12.8,57.151,-5.681,3,0.9,6,0.3,      ,   , LOCH HOURN,HIGHLAND     <br>,
2022-05-08, 05:35:38.7,57.136,-5.592,2.6,0.6,5,0.5,      ,   , LOCH HOURN,HIGHLAND     <br>,
2022-05-08, 12:12:34.8,57.132,-5.616,3.7,1.6,10,0.3,      ,   , LOCH HOURN,HIGHLAND     <br>,
2022-05-08, 14:18:09.1,57.136,-5.585,4.4,0.7,6,0.4,      ,   , LOCH HOURN,HIGHLAND     <br>,
2022-05-10, 23:16:55.4,57.144,-5.627,7.4,0.8,5,0.4,      ,   , LOCH HOURN,HIGHLAND     <br>,
2022-05-11, 15:43:49.9,57.149,-5.651,7.4,0.8,5,0.1,      ,   , LOCH HOURN,HIGHLAND     <br>,
2022-05-11, 21:33:03.9,55.089,-3.171,2.6,0.9,6,0.5,      ,   , WATERBECK,D &amp, G         <br>
2022-05-21, 07:47:43.3,56.388,-5.474,8.7,1.8,12,0.3,3,   , OBAN,ARGYLL &amp, BUTE      <br>
2022-05-21, 21:17:21.2,57.771,-5.633,7.7,0.8,6,0.3,      ,   , POOLEWE,HIGHLAND        <br>,
2022-05-22, 18:34:01.9,56.082,-6.047,14.3,0.9,5,0.1,      ,   , COLONSAY,ARGYLL &amp, BUTE  <br>
2022-05-22, 22:34:14.2,57.103,-5.625,3.8,0.5,6,0.1,      ,   , LOCH HOURN,HIGHLAND     <br>,
2022-05-25, 05:30:00.0,55.783,-5.991,6.8,0.8,6,0.2,      ,   , JURA,ARGYLL &amp, BUTE      <br>
2022-05-26, 15:28:44.1,57.773,-5.615,7.6,1.6,7,0.4,2,   , POOLEWE,HIGHLAND        <br>,
2022-05-30, 07:59:17.3,55.478,-5.097,7.6,2.1,25,0.3,2,   , ARRAN,NORTH AYRSHIRE    <br>,
2022-05-30, 20:53:13.0,55.868,-5.549,7.5,0.9,8,0.3,      ,   , ORMSARY,ARGYLL &amp, BUTE   <br>
2022-06-03, 14:18:13.9,57.16,-5.651,7.3,1,6,0.2,      ,   , LOCH HOURN,HIGHLAND     <br>,
2022-06-08, 18:02:50.5,56.105,-6.067,4.7,0.8,7,0.3,      ,   , COLONSAY,ARGYLL &amp, BUTE  <br>
2022-06-15, 16:46:23.4,57.72,-5.396,7.6,0.9,5,0.2,      ,   , POOLEWE,HIGHLAND        <br>,
2022-06-16, 01:03:01.0,57.59,-5.43,2.6,1,7,0.3,      ,   , KINLOCHEWE,HIGHLAND     <br>,
2022-06-25, 03:08:22.5,55.911,-3.984,8.2,0.2,6,0.2,      ,   , WATTSTON,N LANARKSHIRE  <br>,
2022-07-01, 02:09:55.0,56.376,-5.75,5.2,1.3,7,0.3,      ,   , MULL,ARGYLL &amp, BUTE      <br>
2022-07-04, 18:40:37.4,57.16,-5.569,4.9,1,6,0.3,      ,   , ARNISDALE,HIGHLAND      <br>,
2022-07-12, 12:51:26.6,55.806,-5.465,7.6,1.7,7,0.2,      ,   , TARBERT,ARGYLL &amp, BUTE   <br>
2022-07-13, 22:08:35.2,56.517,-4.208,8,0.5,6,0.4,      ,   , LAWERS,PERTH &amp, KINROSS  <br>
2022-07-16, 05:42:23.2,57.773,-5.603,7.6,1,8,0.4,      ,   , POOLEWE,HIGHLAND        <br>,
2022-07-18, 01:27:30.6,56.135,-4.175,3.3,0,5,0.1,      ,   , KIPPEN,STIRLING         <br>,
2022-07-18, 18:16:02.6,56.974,-5.482,8.4,0.5,6,0.5,      ,   , LOCH NEVIS,HIGHLAND     <br>,
2022-07-21, 21:00:06.3,57.163,-5.55,4.4,1.1,9,0.3,      ,   , ARNISDALE,HIGHLAND      <br>,
2022-07-26, 09:11:59.2,55.675,-5.804,11.5,0.7,6,0.2,      ,   , GIGHA,ARGYLL &amp, BUTE     <br>
2022-07-28, 17:18:47.6,55.979,-4.268,6.3,0.3,7,0.2,      ,   , STRATHBLANE,STIRLING    <br>,
2022-07-30, 15:06:08.6,55.927,-3.983,10.7,0.4,6,0.1,      ,   , WATTSTON,N LANARKSHIRE  <br>,
2022-07-31, 15:51:37.0,56.394,-4.294,3.7,1,6,0.3,2,   , LOCHEARNHEAD,STIRLING   <br>,
2022-07-31, 22:23:34.0,58.48,-2.817,5,1,6,0.4,      ,   , WICK,HIGHLAND           <br>,
2022-08-09, 21:05:12.8,55.538,-5.017,7.6,0.5,8,0.3,      ,   , ARRAN,NORTH AYRSHIRE    <br>,
2022-08-10, 04:31:09.6,57.506,-5.71,2.7,1,7,0.4,      ,   , SHIELDAIG,HIGHLAND      <br>,
2022-08-30, 13:30:46.1,55.843,-6.189,7.1,1.3,8,0.3,      ,   , ISLAY,ARGYLL &amp, BUTE     <br>
2022-09-06, 23:00:32.1,56.908,-4.816,7.6,0.8,7,0.4,      ,   , ROYBRIDGE,HIGHLAND      <br>,
2022-09-07, 21:14:39.1,55.358,-5.25,7.6,0.6,6,0.4,      ,   , ARRAN,NORTH AYRSHIRE    <br>,
2022-09-08, 21:12:03.9,55.357,-5.246,11.8,0.5,6,0.4,      ,   , ARRAN,NORTH AYRSHIRE    <br>,
2022-09-24, 00:26:45.0,56.619,-5.561,6.9,0.4,6,0.4,      ,   , STRONTIAN,HIGHLAND      <br>,
2022-09-27, 01:31:49.9,57.695,-5.707,6.7,0.6,5,0.3,      ,   , BADACHRO,HIGHLAND       <br>,
2022-09-27, 01:34:11.6,57.696,-5.692,7.6,1,6,0.3,      ,   , BADACHRO,HIGHLAND       <br>,
2022-09-27, 02:00:56.5,57.701,-5.726,7.6,0.8,5,0.4,      ,   , BADACHRO,HIGHLAND       <br>,
2022-09-27, 20:33:37.4,57.692,-5.722,7.7,1.3,8,0.5,      ,   , BADACHRO,HIGHLAND       <br>,
2022-09-28, 09:28:41.3,57.697,-5.712,7.1,1.1,6,0.5,      ,   , BADACHRO,HIGHLAND       <br>,
2022-09-30, 14:53:16.1,55.183,-3.649,11.8,1.8,14,0.3,      ,   , AULDGIRTH,D &amp, G         <br>
2022-10-02, 00:55:18.1,56.951,-5.386,7.9,0.7,7,0.3,      ,   , KINLOCHARKAIG,HIGHLAND  <br>,
2022-10-03, 15:07:51.8,56.175,-3.884,6.5,1.2,11,0.5,      ,   , BLAIRLOGIE,STIRLING     <br>,
2022-10-03, 17:26:35.5,56.166,-3.893,7.8,0.6,9,0.3,      ,   , BLAIRLOGIE,STIRLING     <br>,
2022-10-19, 19:33:30.4,56.156,-3.461,3.8,1,8,0.4,      ,   , CLEISH,PERTH &amp, KINROSS  <br>
2022-10-27, 04:24:26.5,57.374,-5.171,4.6,1.3,9,0.3,      ,   , LOCH MONAR,HIGHLAND     <br>,
2022-10-29, 02:19:57.7,55.873,-4.913,6.4,0.3,6,0.2,      ,   , WEMYSS BAY,INVERCLYDE   <br>,
2022-10-31, 17:26:35.7,57.001,-4.744,4.5,1.3,10,0.4,      ,   , KILFINNAN,HIGHLAND      <br>,
2022-11-03, 15:29:34.1,56.407,-4.285,3.7,0.6,5,0.2,      ,   , LOCHEARNHEAD,STIRLING   <br>,
2022-11-03, 23:56:57.3,57.146,-5.562,3.8,1.4,9,0.2,2,   , ARNISDALE,HIGHLAND      <br>,
2022-11-04, 14:34:27.1,57.158,-5.608,7.1,0.8,6,0.1,      ,   , ARNISDALE,HIGHLAND      <br>,
2022-11-08, 15:51:25.2,56.978,-5.559,8.2,0.9,6,0.4,      ,   , LOCH NEVIS,HIGHLAND     <br>,
2022-11-26, 10:47:51.6,57.597,-5.457,2.6,1.2,8,0.2,      ,   , TORRIDON,HIGHLAND       <br>,
2022-11-27, 08:55:22.0,56.413,-5.68,2.6,1.1,7,0.2,      ,   , MULL,ARGYLL &amp, BUTE      <br>
2022-11-29, 00:30:09.4,57.593,-5.456,2.6,0.5,6,0.3,      ,   , TORRIDON,HIGHLAND       <br>,
2022-12-05, 20:30:25.7,56.008,-5.123,7.6,1,11,0.4,      ,   , CRAIGENDIVE,ARGYLL/BUTE <br>,
2022-12-11, 05:10:52.4,56.373,-5.492,2.8,0.4,6,0.2,      ,   , LERAGS,ARGYLL &amp, BUTE    <br>
2022-12-11, 22:39:09.9,56.517,-5.646,2.6,0.7,6,0.3,      ,   , INNINBEG,HIGHLAND       <br>,
2022-12-16, 08:37:39.7,56.594,-4.115,7.6,0.9,7,0.5,      ,   , GLENLYON,PERTH/KINROSS  <br>,
2022-12-16, 10:26:40.0,57.649,-5.302,8.2,1,6,0.7,      ,   , KINLOCHEWE,HIGHLAND     <br>,
2022-12-21, 10:26:41.4,55.994,-5.24,4.6,1.3,8,0.2,      ,   , GLENDARUEL,ARGYLL/BUTE  <br>,
2022-12-22, 13:30:10.0,56.64,-5.665,7.6,1.4,6,0.3,      ,   , STRONTIAN,HIGHLAND      <br>,
2022-12-22, 16:04:27.9,55.921,-5.304,8.3,1,8,0.2,      ,   , MELLDALLOCH,ARGYLL/BUTE <br>,
2022-12-22, 16:56:24.6,56.634,-5.649,7.8,0.9,6,0.3,      ,   , STRONTIAN,HIGHLAND      <br>,
2022-12-25, 10:50:50.5,55.242,-3.502,2.6,0.7,9,0.4,      ,   , ST ANN'S,D &amp, G          <br>
